Title,Title,Budget,Revenue,BD Ratio,IMDB score
Ice Age: Continental Drift,Ice Age: Continental Drift,95000000,877244782,9.2341556,6.60
Cinderella,Cinderella,95000000,543514353,5.721203716,6.90
The Lovely Bones,The Lovely Bones,65000000,93525586,1.438855169,6.70
Finding Nemo,Finding Nemo,94000000,940335536,10.00356953,8.10
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,94000000,1118888979,11.90307424,8.90
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,79000000,926287400,11.72515696,8.70
Seventh Son,Seventh Son,95000000,114178613,1.201880137,5.50
Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,115000000,274703340,2.388724696,5.80
Transcendence,Transcendence,100000000,103039258,1.03039258,6.30
Jurassic Park III,Jurassic Park III,93000000,368780809,3.965385043,5.90
Rise of the Planet of the Apes,Rise of the Planet of the Apes,93000000,482860185,5.192045,7.60
The Spiderwick Chronicles,The Spiderwick Chronicles,90000000,162839667,1.809329633,6.50
A Good Day to Die Hard,A Good Day to Die Hard,92000000,304654182,3.3114585,5.30
The Alamo,The Alamo,145000000,25819961,0.178068697,6.00
The Incredibles,The Incredibles,92000000,631442092,6.863501,8.00
Cutthroat Island,Cutthroat Island,98000000,10017322,0.102217571,5.70
Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,95000000,226497209,2.384181147,7.00
Men in Black,Men in Black,90000000,589390539,6.548783767,7.30
Toy Story 2,Toy Story 2,90000000,497366869,5.526298544,7.90
Unstoppable,Unstoppable,100000000,167805466,1.67805466,6.70
Rush Hour 2,Rush Hour 2,90000000,347325802,3.859175578,6.60
What Lies Beneath,What Lies Beneath,100000000,155464351,1.55464351,6.60
Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs,100000000,242988466,2.42988466,6.90
Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,90000000,886686817,9.852075744,6.90
The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,90000000,188133322,2.090370244,7.30
Charlie's Angels,Charlie's Angels,92000000,264105545,2.870712446,5.50
The Departed,The Departed,90000000,289847354,3.220526156,8.50
Mulan,Mulan,90000000,304320254,3.381336156,7.60
Tropic Thunder,Tropic Thunder,92000000,188072649,2.044267924,7.00
The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,90000000,232617430,2.584638111,7.80
Die Hard: With a Vengeance,Die Hard: With a Vengeance,90000000,366101666,4.067796289,7.60
Sherlock Holmes,Sherlock Holmes,90000000,524028679,5.822540878,7.60
Ben-Hur,Ben-Hur,100000000,94061311,0.94061311,8.10
Atlantis: The Lost Empire,Atlantis: The Lost Empire,120000000,186053725,1.550447708,6.90
Valkyrie,Valkyrie,75000000,200276000,2.670346667,7.10
You Don't Mess with the Zohan,You Don't Mess with the Zohan,90000000,201596308,2.239958978,5.50
Pixels,Pixels,88000000,243637091,2.768603307,5.60
A.I. Artificial Intelligence,A.I. Artificial Intelligence,100000000,235926552,2.35926552,7.20
The Haunted Mansion,The Haunted Mansion,90000000,182290266,2.0254474,5.00
Contact,Contact,90000000,171120329,1.901336989,7.40
Hollow Man,Hollow Man,95000000,190213455,2.002246895,5.80
The Interpreter,The Interpreter,80000000,162944923,2.036811538,6.40
Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,90000000,174578751,1.9397639,5.80
Lara Croft Tomb Raider: The Cradle of Life,Lara Croft Tomb Raider: The Cradle of Life,95000000,156505388,1.647425137,5.50
Now You See Me 2,Now You See Me 2,90000000,334901337,3.721125967,6.50
The Saint,The Saint,68000000,118063304,1.736225059,6.20
Spy Game,Spy Game,92000000,143049560,1.554886522,7.10
Mission to Mars,Mission to Mars,90000000,60874615,0.676384611,5.70
Rio,Rio,90000000,484635760,5.384841778,6.90
Bicentennial Man,Bicentennial Man,100000000,93700000,0.937,6.90
The Devil's Own,The Devil's Own,90000000,140807547,1.5645283,6.20
